TeamKey,RankingPoints,Wins,Losses,Ties,ClimbPoints,AutoPoints,OwnershipPoints,VaultPoints
frc1519,28.0,10.0,2.0,0.0,610.0,388.0,2700.0,285.0
frc2370,28.0,9.0,3.0,0.0,565.0,341.0,2442.0,225.0
frc88,28.0,10.0,2.0,0.0,450.0,343.0,2841.0,300.0
frc663,26.0,9.0,3.0,0.0,585.0,281.0,2745.0,290.0
frc4564,26.0,9.0,3.0,0.0,570.0,378.0,2865.0,270.0
frc1729,25.0,9.0,3.0,0.0,360.0,293.0,2625.0,245.0
frc61,24.0,8.0,4.0,0.0,670.0,358.0,2831.0,370.0
frc78,23.0,8.0,4.0,0.0,675.0,331.0,2587.0,325.0
frc6329,23.0,8.0,4.0,0.0,495.0,334.0,2339.0,310.0
frc1100,21.0,7.0,5.0,0.0,415.0,323.0,2415.0,215.0
frc4905,21.0,5.0,7.0,0.0,650.0,296.0,2012.0,240.0
frc1153,20.0,7.0,5.0,0.0,590.0,263.0,2024.0,360.0
frc5735,20.0,6.0,6.0,0.0,515.0,327.0,2235.0,325.0
frc2262,20.0,7.0,5.0,0.0,420.0,271.0,2135.0,210.0
frc3555,19.0,8.0,4.0,0.0,670.0,285.0,2497.0,415.0
frc3236,19.0,7.0,5.0,0.0,605.0,322.0,2369.0,295.0
frc23,19.0,7.0,5.0,0.0,560.0,260.0,2416.0,270.0
frc213,19.0,6.0,6.0,0.0,535.0,294.0,1883.0,335.0
frc467,19.0,6.0,6.0,0.0,325.0,302.0,2138.0,280.0
frc1768,17.0,6.0,6.0,0.0,420.0,249.0,1819.0,215.0
frc3623,17.0,7.0,5.0,0.0,510.0,223.0,1992.0,360.0
frc5494,17.0,7.0,5.0,0.0,525.0,226.0,2225.0,230.0
frc3466,16.0,5.0,7.0,0.0,415.0,248.0,1737.0,255.0
frc1991,16.0,7.0,5.0,0.0,395.0,249.0,1844.0,230.0
frc4042,16.0,5.0,7.0,0.0,330.0,282.0,1989.0,165.0
frc716,16.0,5.0,7.0,0.0,455.0,281.0,2157.0,290.0
frc172,13.0,5.0,7.0,0.0,455.0,221.0,1998.0,180.0
frc4987,13.0,2.0,10.0,0.0,375.0,324.0,2079.0,205.0
frc3566,13.0,4.0,8.0,0.0,345.0,246.0,2054.0,210.0
frc1350,13.0,5.0,7.0,0.0,460.0,236.0,1737.0,260.0
frc7164,13.0,4.0,8.0,0.0,505.0,259.0,2029.0,210.0
frc126,13.0,4.0,8.0,0.0,525.0,258.0,1747.0,285.0
frc1831,12.0,5.0,7.0,0.0,495.0,237.0,1991.0,295.0
frc4048,12.0,4.0,8.0,0.0,480.0,250.0,2090.0,245.0
frc5491,12.0,5.0,7.0,0.0,475.0,185.0,1630.0,185.0
frc3719,11.0,4.0,8.0,0.0,450.0,192.0,1591.0,205.0
frc7259,11.0,3.0,9.0,0.0,435.0,311.0,1902.0,190.0
frc1277,11.0,4.0,8.0,0.0,420.0,223.0,1686.0,200.0
