key,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,nickname,rookie_year,state_prov,team_number,events,OPR,DPR,CCWM,RankingPoints,Wins,Losses,Ties,ClimbPoints,AutoPoints,OwnershipPoints,VaultPoints
frc1,0,0,0,The Juggernauts,1997.0,Michigan,1,"['2018miket', '2018miwat']",95.60268089222134,63.15549069066824,32.44719020155306,20.5,8.0,4.0,0.0,432.5,237.0,2508.5,280.0
frc4,1,1,1,Team 4 ELEMENT,1997.0,California,4,"['2018capo', '2018nvlv']",138.29784462990216,98.3335294852117,39.96431514469036,14.0,5.0,5.5,0.0,407.5,225.0,2077.5,295.0
frc8,2,2,5,Paly Robotics,1996.0,California,8,"['2018azfl', '2018casj']",152.02120222672238,61.85403444992255,90.16716777679983,18.5,6.0,3.0,0.0,310.0,282.5,2107.0,202.5
frc11,3,3,8,MORT,1997.0,New Jersey,11,"['2018mrcmp', '2018njfla', '2018njski', '2018qcmo']",84.65744072900918,102.83627019438683,-18.178829465377603,15.5,5.0,6.0,0.25,517.5,249.25,2028.5,325.0
frc16,4,4,12,Bomb Squad,1996.0,Arkansas,16,"['2018arli', '2018carv', '2018ilch']",195.55369496225796,41.137266089491305,154.41642887276666,27.666666666666668,8.0,2.0,0.0,626.6666666666666,348.6666666666667,2566.6666666666665,303.3333333333333
frc20,5,5,16,The Rocketeers,1992.0,New York,20,"['2018cmpmi', '2018nytr', '2018nyut']",140.7251263141235,69.7116726685654,71.01345364555806,25.0,8.5,4.0,0.0,642.5,391.0,2765.5,332.5
frc21,6,6,17,ComBBAT,1998.0,Florida,21,"['2018flor', '2018flwp']",103.2607635335791,88.82778066758405,14.432982865995104,13.0,4.5,4.5,0.0,495.0,221.0,1669.5,197.5
frc23,7,7,19,PNTA Pilgrim Nuclear Technology Alliance,1995.0,Massachusetts,23,"['2018mabri', '2018mawor']",119.9674643151906,64.64140098607655,55.32606332911403,20.5,7.5,4.5,0.0,545.0,272.0,2374.5,235.0
frc25,8,8,21,Raider Robotix,1997.0,New Jersey,25,"['2018cmpmi', '2018mrcmp', '2018njfla', '2018njski', '2018pahat']",186.30959053641732,61.49460117269086,124.81498936372645,32.75,10.0,2.0,0.0,648.75,431.75,3037.5,450.0
frc27,9,9,22,Team RUSH,1997.0,Michigan,27,"['2018cmpmi', '2018micmp2', '2018micmp', '2018miliv', '2018mimil', '2018nyut']",160.9334128156295,58.1247171726931,102.80869564293641,30.75,8.75,3.25,0.0,762.5,423.5,2760.5,336.25
frc28,10,10,23,Pierson Whalers,1996.0,New York,28,['2018nyli'],102.62519879537845,75.63407170747921,26.991127087899194,17.0,5.0,7.0,0.0,610.0,313.0,2017.0,425.0
frc31,11,11,26,Prime Movers,1997.0,Oklahoma,31,"['2018arli', '2018okok']",81.76450041722121,62.50811408282564,19.256386334395568,8.0,3.5,6.0,0.0,325.0,153.5,1412.0,185.0
frc33,12,12,27,Killer Bees,1996.0,Michigan,33,"['2018cmpmi', '2018micmp1', '2018mimil', '2018misou', '2018onwin']",166.76313521314333,59.35116724234432,107.41196797079901,32.25,9.25,2.75,0.0,776.25,387.5,2866.5,377.5
frc34,13,13,28,Rockets,1997.0,Alabama,34,"['2018alhu', '2018arli']",83.63200991364296,118.55867769199776,-34.92666777835483,12.5,4.5,6.0,0.0,442.5,193.5,1714.5,250.0
frc41,14,14,34,RoboWarriors,1997.0,New Jersey,41,"['2018mrcmp', '2018njfla', '2018njski']",112.80737654090986,112.40133209391286,0.4060444469968054,20.333333333333332,6.0,6.0,0.0,573.3333333333334,327.6666666666667,2337.3333333333335,340.0
frc45,15,15,36,TechnoKats Robotics Team,1992.0,Indiana,45,"['2018cmpmi', '2018inmis', '2018inwla']",70.4693018171388,128.28224717536852,-57.812945358229676,16.5,4.0,8.0,0.0,652.5,328.5,1933.0,330.0
frc48,16,16,39,Delphi E.L.I.T.E.,1998.0,Ohio,48,"['2018ohmv', '2018paca']",97.24769260080899,96.99227417074621,0.25541843006275045,15.5,4.5,4.5,0.0,355.0,285.0,1824.5,200.0
frc51,17,17,41,The Wings of Fire,1996.0,Michigan,51,"['2018cmpmi', '2018micmp3', '2018mimil', '2018mitvc']",104.20863225257119,97.16517271342822,7.043459539143029,22.0,6.0,6.0,0.0,721.6666666666666,321.0,2361.3333333333335,301.6666666666667
