,Unnamed: 0,Unnamed: 0.1,key,nickname,rookie_year,state_prov,team_number,events,OPR,DPR,CCWM
0,0,0,frc1,The Juggernauts,1997.0,Michigan,1,"['2018miket', '2018miwat']",95.60268089222134,63.15549069066824,32.44719020155306
1,1,1,frc4,Team 4 ELEMENT,1997.0,California,4,"['2018capo', '2018nvlv']",138.29784462990216,98.3335294852117,39.96431514469036
2,2,5,frc8,Paly Robotics,1996.0,California,8,"['2018azfl', '2018casj']",152.02120222672238,61.85403444992255,90.16716777679983
3,3,8,frc11,MORT,1997.0,New Jersey,11,"['2018mrcmp', '2018njfla', '2018njski', '2018qcmo']",84.65744072900918,102.83627019438683,-18.178829465377603
4,4,12,frc16,Bomb Squad,1996.0,Arkansas,16,"['2018arli', '2018cmptx', '2018ilch']",195.55369496225796,41.137266089491305,154.41642887276666
5,5,16,frc20,The Rocketeers,1992.0,New York,20,"['2018cmpmi', '2018nytr', '2018nyut']",140.7251263141235,69.7116726685654,71.01345364555806
6,6,17,frc21,ComBBAT,1998.0,Florida,21,"['2018flor', '2018flwp']",103.2607635335791,88.82778066758405,14.432982865995104
7,7,19,frc23,PNTA Pilgrim Nuclear Technology Alliance,1995.0,Massachusetts,23,"['2018mabri', '2018mawor']",119.9674643151906,64.64140098607655,55.32606332911403
8,8,21,frc25,Raider Robotix,1997.0,New Jersey,25,"['2018cmpmi', '2018mrcmp', '2018njfla', '2018njski', '2018pahat']",186.30959053641732,61.49460117269086,124.81498936372645
9,9,22,frc27,Team RUSH,1997.0,Michigan,27,"['2018cmpmi', '2018micmp2', '2018miliv', '2018mimil', '2018nyut']",132.3283192426994,62.16206978499149,70.16624945770778
10,10,23,frc28,Pierson Whalers,1996.0,New York,28,"['2018nyli', '2018nyrer']",102.62519879537845,75.63407170747921,26.991127087899194
11,11,26,frc31,Prime Movers,1997.0,Oklahoma,31,"['2018arli', '2018okok']",81.76450041722121,62.50811408282564,19.256386334395568
12,12,27,frc33,Killer Bees,1996.0,Michigan,33,"['2018micmp1', '2018mimil', '2018misou', '2018onwin']",130.06660574472355,105.8500633017587,24.216542442964776
13,13,28,frc34,Rockets,1997.0,Alabama,34,"['2018alhu', '2018arli']",83.63200991364296,118.55867769199776,-34.92666777835483
14,14,34,frc41,RoboWarriors,1997.0,New Jersey,41,"['2018mrcmp', '2018njfla', '2018njski']",112.80737654090986,112.40133209391286,0.4060444469968054
15,15,36,frc45,TechnoKats Robotics Team,1992.0,Indiana,45,"['2018cmpmi', '2018inmis', '2018inwla']",70.4693018171388,128.28224717536852,-57.812945358229676
16,16,39,frc48,Delphi E.L.I.T.E.,1998.0,Ohio,48,"['2018ohmv', '2018paca']",97.24769260080899,96.99227417074621,0.25541843006275045
17,17,41,frc51,Wings of Fire,1996.0,Michigan,51,"['2018cmpmi', '2018micmp3', '2018mimil', '2018mitvc']",125.69253714407739,108.29390861674922,17.39862852732817
18,18,45,frc56,R.O.B.B.E.,1997.0,New Jersey,56,"['2018cmpmi', '2018mrcmp', '2018njbri', '2018njski']",185.69708119434313,69.8176517146934,115.87942947964977
19,19,47,frc58,The Riot Crew,1996.0,Maine,58,"['2018mabri', '2018melew', '2018necmp', '2018week0']",694.2141724721216,325.34104871168336,368.8731237604351
20,20,48,frc59,RamTech,1997.0,Florida,59,"['2018cmptx', '2018flor', '2018flwp']",175.14855030882381,36.02332811148694,139.12522219733668
21,21,49,frc60,Bionic Bulldogs,1997.0,Arizona,60,"['2018azfl', '2018nvlv']",106.29297664489283,91.82261112334112,14.47036552155161
22,22,50,frc61,The Intimidators,1995.0,Massachusetts,61,"['2018mawor', '2018necmp', '2018rismi']",149.28348247184516,50.4259747927299,98.85750767911524
23,23,52,frc63,McDowell Robotics Team 63,1997.0,Pennsylvania,63,"['2018ohmv', '2018wimi']",129.05733553260768,62.63901061949488,66.41832491311271
24,24,55,frc66,Grizzly Robotics,1998.0,Michigan,66,"['2018mibel', '2018micmp3', '2018milin']",129.78239098351807,71.85653821890419,57.925852764613985
25,25,56,frc67,The HOT Team,1997.0,Michigan,67,"['2018cmpmi', '2018micmp1', '2018mimil', '2018misou', '2018mitry']",198.37739372936335,64.01725034721511,134.36014338214795
26,26,57,frc68,Truck Town Thunder,1998.0,Michigan,68,"['2018mitry', '2018miwat']",127.90748855173952,78.73806934466106,49.16941920707841
27,27,58,frc69,HYPER,1998.0,Massachusetts,69,"['2018ctsct', '2018mabos']",68.45060974699774,131.40507341342737,-62.954463666429476
28,28,59,frc70,More Martians,1998.0,Michigan,70,"['2018micmp1', '2018miket', '2018mitry']",169.14320146548974,32.37169825437065,136.7715032111192
29,29,60,frc71,Team Hammond,1996.0,Indiana,71,"['2018incmp', '2018inmis', '2018inwla']",86.1228789375246,52.43144782604807,33.69143111147655
30,30,62,frc74,Team C.H.A.O.S.,1995.0,Michigan,74,"['2018inmis', '2018micmp2', '2018mishe', '2018miwmi']",139.18252932627544,96.2202049907792,42.96232433549635
31,31,63,frc75,RoboRaiders,1996.0,New Jersey,75,"['2018mrcmp', '2018njbri', '2018njski']",123.11029121544213,78.95754920824838,44.15274200719373
32,32,65,frc78,AIR STRIKE,1996.0,Rhode Island,78,"['2018mabri', '2018mawor', '2018necmp', '2018rismi', '2018week0']",-15.337700836656655,-63.266014900441824,47.928314063784384
33,33,66,frc79,Team Krunch,1998.0,Florida,79,['2018flor'],75.14144387977916,114.11825639701713,-38.97681251723798
34,34,68,frc81,MetalHeads,1994.0,Illinois,81,['2018ilpe'],6.404664790573818,139.25740902375364,-132.85274423317995
35,35,70,frc85,B.O.B. (Built on Brains),1996.0,Michigan,85,"['2018micmp3', '2018misjo', '2018miwmi']",204.06371684974758,49.926196518919504,154.1375203308277
36,36,71,frc86,Team Resistance,1998.0,Florida,86,"['2018flor', '2018flwp']",119.9974483090437,94.98335652655254,25.01409178249122
37,37,72,frc87,Diablo,1997.0,New Jersey,87,"['2018njtab', '2018paphi']",25.68930332208786,161.74482607654863,-136.05552275446067
38,38,73,frc88,TJ(Squared),1996.0,Massachusetts,88,"['2018cmpmi', '2018mabos', '2018mabri', '2018mawor', '2018necmp']",146.05881427183084,39.7896882337212,106.26912603810965
39,39,77,frc93,NEW Apple Corps,1997.0,Wisconsin,93,"['2018mndu', '2018wimi']",138.05830148806663,83.709868430731,54.34843305733558
40,40,78,frc94,The  Ninetyfouriors,1998.0,Michigan,94,"['2018mimid', '2018misou']",107.82777316559671,49.01355180199545,58.81422136360126
41,41,79,frc95,Grasshoppers,1997.0,Vermont,95,"['2018ctsct', '2018melew', '2018necmp', '2018nhgrs']",170.97937183656455,17.1685284510835,153.81084338548106
42,42,81,frc97,Bionic Beef,1996.0,Massachusetts,97,"['2018mabos', '2018mabri']",59.959158728756336,103.66881459716893,-43.70965586841259
43,43,83,frc100,The WildHats,1995.0,California,100,"['2018cada', '2018casf', '2018cmptx']",103.80009252217825,109.96281581087766,-6.1627232886993575
44,44,84,frc101,Striker,1997.0,Illinois,101,['2018ilch'],117.70716117995043,97.72215632278167,19.985004857168782
45,45,85,frc102,The Gearheads,1998.0,New Jersey,102,"['2018mrcmp', '2018njbri', '2018njski']",103.11072681914128,98.276005252238,4.834721566903339
46,46,86,frc103,Cybersonics,1997.0,Pennsylvania,103,"['2018cmpmi', '2018mrcmp', '2018pahat', '2018paphi']",121.16062455958793,70.7829439808974,50.377680578690565
47,47,90,frc107,Team R.O.B.O.T.I.C.S.,1997.0,Michigan,107,"['2018mifor', '2018miwat', '2018miwmi']",122.30534182396839,98.47239242694927,23.832949397019117
48,48,91,frc108,SigmaC@T Robotics Team,1995.0,Florida,108,"['2018cmptx', '2018flor', '2018flwp', '2018tnkn']",104.04387802050074,104.00281455574712,0.04106346475361988
49,49,93,frc111,WildStang,1996.0,Illinois,111,"['2018cmpmi', '2018ilch', '2018wimi']",152.85667951386438,29.738315109477387,123.11836440438698
50,50,95,frc114,Eaglestrike,1997.0,California,114,['2018cave'],67.63404142407846,73.18966965874925,-5.555628234670812
51,51,96,frc115,MVRT,1998.0,California,115,"['2018idbo', '2018utwv']",132.4832492663948,59.597528402809296,72.88572086358548
52,52,97,frc116,Epsilon Delta,1996.0,Virginia,116,"['2018chcmp', '2018vagdc', '2018vahay']",100.11207873028248,117.49895915382842,-17.38688042354595
53,53,98,frc117,The Steel Dragons,1998.0,Pennsylvania,117,['2018paca'],35.20317225962984,118.00748667893055,-82.80431441930077
54,54,99,frc118,Robonauts,1997.0,Texas,118,"['2018cmptx', '2018code', '2018txda', '2018txpa']",215.51455157992154,34.28449808307199,181.23005349684954
55,55,100,frc120,Cleveland's Team,1995.0,Ohio,120,"['2018cmptx', '2018nyro', '2018ohcl']",126.21103644625771,115.0063283002745,11.204708145983155
56,56,101,frc121,Rhode Warriors,1996.0,Rhode Island,121,"['2018mabri', '2018rismi']",105.84305753698908,120.69696296551606,-14.85390542852701
57,57,102,frc122,NASA Knights,1997.0,Virginia,122,"['2018chcmp', '2018vahay', '2018vapor']",121.75958109938138,64.81341424256358,56.94616685681782
58,58,103,frc123,Team - Cosmos,1997.0,Michigan,123,"['2018micen', '2018micmp3', '2018migib']",143.97418662536225,89.78770963640603,54.18647698895628
59,59,105,frc125,NUTRONs,1998.0,Massachusetts,125,"['2018cmpmi', '2018mabos', '2018marea', '2018necmp', '2018rismi', '2018scmb', '2018week0']",98.72087509945584,122.17713538694515,-23.456260287489254
60,60,106,frc126,Gael Force,1992.0,Massachusetts,126,"['2018cmpmi', '2018mawor', '2018rismi']",91.51809327963005,119.98801294106798,-28.469919661437864
61,61,108,frc128,The Botcats,1997.0,Ohio,128,['2018ohmv'],54.179534342291994,140.5778563827834,-86.39832204049148
62,62,110,frc131,C.H.A.O.S.,1992.0,New Hampshire,131,"['2018nhdur', '2018nhgrs']",103.5606292565003,55.24007058867549,48.32055866782484
63,63,112,frc133,B.E.R.T.,1997.0,Maine,133,"['2018marea', '2018melew', '2018necmp']",175.27707400544818,78.844459592533,96.43261441291524
64,64,114,frc135,Penn Robotics,1998.0,Indiana,135,"['2018incmp', '2018inmis', '2018inpla']",68.0293921147163,56.61734431788326,11.412047796833063
65,65,115,frc136,Killer Kardinals,1997.0,New Jersey,136,"['2018njbri', '2018njski']",40.42109764867383,158.1561188955996,-117.73502124692575
66,66,116,frc138,Entropy,1996.0,New Hampshire,138,"['2018necmp', '2018nhdur', '2018nhgrs']",121.78603478737512,64.88280133713235,56.90323345024274
67,67,118,frc141,WOBOT,1995.0,Michigan,141,"['2018alhu', '2018micmp3', '2018milsu', '2018miwmi', '2018vahay']",137.52561611100788,74.61944337725552,62.9061727337524
68,68,119,frc144,The R.O.C.K,1994.0,Ohio,144,"['2018ohmv', '2018tnkn']",104.20214601624201,79.63082697649833,24.571319039743713
69,69,120,frc145,T-Rx,1997.0,New York,145,"['2018cmpmi', '2018nyut']",110.69555467292253,69.13437456367205,41.56118010925048
70,70,123,frc148,Robowranglers,1992.0,Texas,148,"['2018cmptx', '2018code', '2018txda']",263.79437650841504,19.552873257821318,244.24150325059367
71,71,124,frc151,Tough Techs,1992.0,New Hampshire,151,"['2018nhdur', '2018nhgrs']",47.451829660233685,131.09589942273956,-83.64406976250596
72,72,126,frc155,The Technonuts,1994.0,Connecticut,155,"['2018cthar', '2018ctsct', '2018nhgrs']",85.80004030791326,156.55291273912437,-70.75287243121109
73,73,127,frc156,RPM  - Robotics Plus Mayhem ,1997.0,Pennsylvania,156,"['2018nyro', '2018paca']",146.22595296470809,110.78640076872148,35.43955219598652
74,74,128,frc157,AZTECHS,1992.0,Massachusetts,157,"['2018cmpmi', '2018mabri', '2018rismi']",104.07219710753196,90.54007225663636,13.532124850895654
75,75,130,frc159,Alpine Robotics,1998.0,Colorado,159,"['2018code', '2018utwv']",127.16136284437377,78.41149725473645,48.74986558963742
76,76,135,frc166,Chop Shop,1995.0,New Hampshire,166,"['2018mabri', '2018nhdur']",77.32145147374214,115.57493308583636,-38.25348161209413
77,77,136,frc167,Children of the Corn,1998.0,Iowa,167,"['2018iacf', '2018wila']",169.15095485296317,32.335457963692484,136.8154968892706
78,78,139,frc171,Cheese Curd Herd,1995.0,Wisconsin,171,"['2018mnmi2', '2018wila']",35.32866839541067,125.25517503167859,-89.92650663626779
79,79,140,frc172,Northern Force,1996.0,Maine,172,"['2018mawor', '2018melew']",92.11413744112494,96.16050300721952,-4.046365566094554
80,80,141,frc173,RAGE Robotics,1995.0,Connecticut,173,"['2018cthar', '2018rismi']",122.35840523467573,101.81326720880155,20.545138025874156
81,81,142,frc174,Arctic Warriors,1998.0,New York,174,['2018nyro'],134.45328917502803,121.47206132449091,12.981227850537255
82,82,143,frc175,Buzz Robotics,1996.0,Connecticut,175,"['2018cmptx', '2018cthar', '2018necmp', '2018rismi']",143.53277854867565,75.50520126948936,68.02757727918632
83,83,144,frc176,Aces High,1996.0,Connecticut,176,"['2018cthar', '2018ctwat', '2018necmp']",172.37666876715397,52.75407246254935,119.62259630460453
84,84,145,frc177,Bobcat Robotics,1995.0,Connecticut,177,"['2018cmpmi', '2018cthar', '2018ctwat', '2018necmp']",167.29030740534685,87.42553850666918,79.86476889867777
85,85,146,frc178,The 2nd Law Enforcers,1997.0,Connecticut,178,"['2018ctsct', '2018mabri']",117.40480929281262,89.58143856971247,27.823370723100098
86,86,147,frc179,Children of the Swamp,1998.0,Florida,179,"['2018cmptx', '2018flor', '2018flwp']",204.52711090170027,15.766186404782175,188.76092449691794
87,87,148,frc180,S.P.A.M.,1998.0,Florida,180,"['2018cmptx', '2018flor', '2018flwp']",158.45772576845673,43.89244976491338,114.56527600354335
88,88,149,frc181,Birds Of Prey,1998.0,Connecticut,181,"['2018cthar', '2018ctwat']",126.42994169369506,72.593571307059,53.83637038663612
89,89,153,frc188,Blizzard,1998.0,Ontario,188,"['2018oncmp1', '2018onham', '2018onnyo']",92.04692666719218,100.42503373932294,-8.378107072130769
90,90,154,frc190,Gompei and the H.E.R.D.,1992.0,Massachusetts,190,"['2018cmpmi', '2018cthar', '2018paphi', '2018rismi']",97.24579350851586,106.01959083603138,-8.773797327515396
91,91,155,frc191,X-CATS,1992.0,New York,191,"['2018cmpmi', '2018nyro', '2018nyrra', '2018nyut']",112.57528838401126,83.50864497315423,29.06664341085698
92,92,156,frc192,GRT,1997.0,California,192,"['2018casj', '2018txho', '2018utwv']",114.1738104600601,84.60361675214357,29.570193707916516
93,93,157,frc193,MORT Beta,1997.0,New Jersey,193,"['2018njfla', '2018njski']",54.78267303917306,126.93782122978868,-72.15514819061552
94,94,158,frc195,CyberKnights,1998.0,Connecticut,195,"['2018cthar', '2018ctsct', '2018necmp']",217.4056418573767,-3.294873238989693,220.7005150963661
95,95,160,frc199,Deep Blue,1998.0,California,199,"['2018cada', '2018casf']",101.10430328491047,91.15499806863218,9.949305216278358
96,96,161,frc201,The FEDS,1998.0,Michigan,201,"['2018micmp4', '2018mimil', '2018miwat']",93.58151204040594,79.49750637369743,14.084005666708363
97,97,163,frc203,SOUPer BOTS,1998.0,New Jersey,203,"['2018mrcmp', '2018njtab', '2018pahat', '2018pawch']",110.6174886046605,109.65495045494646,0.9625381497139944
98,98,164,frc204,Eastern Robotic Vikings,1998.0,New Jersey,204,"['2018njtab', '2018paphi', '2018pawch']",29.20090329728087,125.83113723990179,-96.6302339426209
99,99,165,frc207,METALCRAFTERS,1999.0,California,207,['2018cair'],111.86700330507328,67.32029869022801,44.546704614845275
100,100,169,frc213,The Dirty Birds,1999.0,New Hampshire,213,"['2018mawor', '2018nhdur']",105.3250700065066,102.85313269666186,2.471937309844712
101,101,171,frc216,More RoboDawgs,1999.0,Michigan,216,"['2018hiho', '2018miken', '2018misjo']",54.05418001369378,120.36393730795969,-66.3097572942659
102,102,172,frc217,ThunderChickens,1999.0,Michigan,217,"['2018micmp4', '2018mike2', '2018mimar', '2018paca']",223.7763663983394,21.382794866600676,202.39357153173881
103,103,173,frc219,Team Impact,1999.0,New Jersey,219,"['2018mrcmp', '2018njbri', '2018njfla', '2018pahat']",113.22139517025643,86.59776555579708,26.623629614459343
104,104,175,frc222,Tigertrons,1999.0,Pennsylvania,222,"['2018mrcmp', '2018njfla', '2018njski']",143.42917347533228,99.23807073594367,44.19110273938865
105,105,176,frc223,Xtreme Heat,1999.0,New Jersey,223,"['2018mrcmp', '2018njfla', '2018njtab', '2018nyut']",127.37104530674122,116.25506443876598,11.115980867975187
106,106,177,frc224,The Tribe,1999.0,New Jersey,224,"['2018njbri', '2018njtab']",82.20183488118107,95.49523543240309,-13.29340055122203
107,107,178,frc225,TechFire,1999.0,Pennsylvania,225,"['2018cmpmi', '2018mrcmp', '2018njski', '2018paphi', '2018vagdc']",201.3230332032546,25.565663861035286,175.7573693422194
108,108,179,frc226,Hammerheads,1999.0,Michigan,226,"['2018inmis', '2018micmp4', '2018mifor', '2018migay', '2018mitry']",140.51583268476597,105.39998579417936,35.115846890586695
109,109,181,frc228,GUS Robotics,1999.0,Connecticut,228,"['2018ctsct', '2018ctwat']",137.7577047670337,101.96108163110776,35.79662313592597
110,110,182,frc229,Division By Zero,1999.0,New York,229,"['2018nysu', '2018nytr']",101.48603376238714,104.67081283039133,-3.1847790680042074
111,111,183,frc230,Gaelhawks,1999.0,Connecticut,230,"['2018cthar', '2018ctsct', '2018ctwat', '2018necmp']",222.16470899674076,29.879933779247555,192.28477521749315
